_id,clusterID,siteID,stationID,spaceID,connectionTime,disconnectTime,doneChargingTime,chargingTime,standbyTime,sessionDuration,kWhDelivered,powerkW,minpowerkW
0,0039,0002,2-39-78-363,CA-320,2019-10-10 00:44:31,2019-10-10 01:51:10,2019-10-10 01:50:14,01:05:43,00:00:56,01:06:39,6.622,6.04595485670809,5.961290322580645
1,0039,0002,2-39-131-30,CA-305,2019-10-10 01:12:19,2019-10-10 13:13:59,2019-10-10 05:53:01,04:40:42,07:20:58,12:01:40,16.097,3.440755254720342,1.3383187066974596
2,0039,0002,2-39-129-17,CA-307,2019-10-10 01:39:15,2019-10-10 03:33:00,2019-10-10 02:10:10,00:30:55,01:22:50,01:53:45,0.881,1.709757412398922,0.46470329670329674
3,0039,0002,2-39-127-19,CA-309,2019-10-10 01:58:14,2019-10-10 03:58:57,2019-10-10 03:44:30,01:46:16,00:14:27,02:00:43,10.678,6.028983688833125,5.307303603479221
4,0039,0002,2-39-139-28,CA-303,2019-10-10 04:42:58,2019-10-10 14:58:31,2019-10-10 13:26:26,08:43:28,01:32:05,10:15:33,14.891,1.706813550687723,1.4514824141012101
5,0001,0001,1-1-193-829,AG-1F03,2019-10-10 00:12:58,2019-10-10 02:13:45,2019-10-10 02:14:45,02:01:47,00:01:00,02:00:47,12.087,5.955002052826057,6.0043052297502415
6,0001,0001,1-1-178-823,AG-1F08,2019-10-10 02:08:38,2019-10-10 05:34:48,2019-10-10 04:01:29,01:52:51,01:33:19,03:26:10,5.687,3.0236597252990696,1.6550687146321748
7,0001,0001,1-1-194-821,AG-1F13,2019-10-10 03:53:47,2019-10-10 06:46:47,2019-10-10 06:21:15,02:27:28,00:25:32,02:53:00,8.03,3.2671790235081373,2.784971098265896
8,0102,0019,19-102-260-1635,01,2019-10-10 13:58:28,2019-10-10 23:28:18,2019-10-10 15:55:03,01:56:35,07:33:15,09:29:50,12.087,6.220614724803431,1.2726879204445745
9,0102,0019,19-102-260-1633,02,2019-10-10 14:41:17,2019-10-10 23:04:15,2019-10-10 22:47:06,08:05:49,00:17:09,08:22:58,44.067,5.442423410751656,5.256849360461263
10,0102,0019,19-102-260-1638,04,2019-10-10 14:43:19,2019-10-11 01:51:16,2019-10-10 16:43:34,02:00:15,09:07:42,11:07:57,6.012,2.999750519750519,0.5400404221872894
11,0102,0019,19-102-260-1634,03,2019-10-10 15:06:37,2019-10-10 16:32:20,2019-10-10 16:32:11,01:25:34,00:00:09,01:25:43,8.591,6.024074795481106,6.0135329574178495
12,0102,0019,19-102-260-1640,08,2019-10-10 17:22:47,2019-10-11 00:33:53,2019-10-11 00:33:45,07:10:58,00:00:08,07:11:06,37.849,5.269409853817,5.267780097425192
13,0102,0019,19-102-260-1636,06,2019-10-10 18:57:42,2019-10-10 23:52:56,2019-10-10 20:38:19,01:40:37,03:14:37,04:55:14,9.89,5.897631273811497,2.0099356441232925
14,0102,0019,19-102-260-1634,03,2019-10-10 21:28:40,2019-10-11 01:17:42,2019-10-11 01:17:37,03:48:57,00:00:05,03:49:02,12.802,3.3549683336973137,3.3537476349876294
15,0039,0002,2-39-79-380,CA-489,2019-10-10 14:39:05,2019-10-11 01:06:54,2019-10-10 18:33:21,03:54:16,06:33:33,10:27:49,1.432,0.36676152532726236,0.13685523905598768
16,0039,0002,2-39-78-367,CA-494,2019-10-10 14:58:25,2019-10-10 16:53:40,2019-10-10 16:49:30,01:51:05,00:04:10,01:55:15,8.75,4.726181545386346,4.55531453362256
17,0039,0002,2-39-91-437,CA-317,2019-10-10 15:01:06,2019-10-10 22:04:25,2019-10-10 18:52:41,03:51:35,03:11:44,07:03:19,23.139,5.994991003958258,3.2796724280483485
18,0039,0002,2-39-79-383,CA-492,2019-10-10 15:06:14,2019-10-10 22:46:07,2019-10-10 16:35:48,01:29:34,06:10:19,07:39:53,4.401,2.948195013025679,0.574189105932664
19,0039,0002,2-39-95-27,CA-319,2019-10-10 15:20:38,2019-10-10 17:15:54,2019-10-10 17:14:54,01:54:16,00:01:00,01:55:16,0.771,0.4048424737456243,0.40133024869866973
20,0039,0002,2-39-78-366,CA-323,2019-10-10 15:37:22,2019-10-11 00:17:53,2019-10-10 23:50:37,08:13:15,00:27:16,08:40:31,1.032,0.12553471870248353,0.11895872690595882
21,0039,0002,2-39-128-18,CA-308,2019-10-10 15:48:04,2019-10-10 18:28:04,2019-10-10 17:22:37,01:34:33,01:05:27,02:40:00,7.892,5.008143839238498,2.9595000000000002
22,0039,0002,2-39-89-25,CA-315,2019-10-10 15:56:15,2019-10-11 00:42:28,2019-10-10 16:40:54,00:44:39,08:01:34,08:46:13,1.95,2.620380739081747,0.22234187438634273
23,0039,0002,2-39-95-444,CA-497,2019-10-10 16:01:42,2019-10-11 01:31:43,2019-10-10 21:33:17,05:31:35,03:58:26,09:30:01,6.825,1.2349836642372456,0.7184000467822579
24,0039,0002,2-39-79-379,CA-327,2019-10-10 16:07:12,2019-10-11 02:05:59,2019-10-10 17:56:57,01:49:45,08:09:02,09:58:47,11.362,6.211571753986333,1.1385086425251205
25,0039,0002,2-39-78-360,CA-322,2019-10-10 16:15:02,2019-10-10 21:54:40,2019-10-10 21:03:23,04:48:21,00:51:17,05:39:38,24.117,5.018276400208081,4.260535872018844
26,0039,0002,2-39-129-17,CA-307,2019-10-10 16:21:58,2019-10-10 17:51:05,2019-10-10 17:25:20,01:03:22,00:25:45,01:29:07,0.945,0.8947922146238823,0.63624462315317
27,0039,0002,2-39-78-361,CA-493,2019-10-10 16:23:43,2019-10-10 23:37:02,2019-10-10 21:32:37,05:08:54,02:04:25,07:13:19,0.848,0.16471349951440595,0.11741990076541405
28,0039,0002,2-39-92-442,CA-498,2019-10-10 16:34:58,2019-10-11 02:29:33,2019-10-10 21:32:21,04:57:23,04:57:12,09:54:35,16.796,3.3887574959367814,1.6949011913104415
